time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.4400000000000017,-1.28355679821,1.68839042036,16.3289448478,0.183632398371,0.0853120518493,0.0,-1.40087037355,2.21209176072,4.56162583158,-0.0125476176306,0.000327571723212,0.0,460.20078179620344,460.32686280427043,462.9380109712347,461.32835459866493
2.4600000000000017,-1.31177580577,1.7330454852,16.4204847376,0.18357597646,0.0854595477755,0.0,-1.42103038202,2.25341472367,4.59236315105,-0.0153371010352,-0.00204682918393,0.0,461.1271027837917,460.5639815947454,462.3714212643028,461.71170730226964
2.4800000000000018,-1.34034924421,1.77842149875,16.512074174,0.184502253697,0.0854216460578,0.0,-1.43631346245,2.28418663049,4.56658048739,-0.00831422624548,-0.00239524651861,0.0,407.3599840306614,407.26653207923664,404.75999899536106,406.6520739514094
2.5000000000000018,-1.36927107271,1.82450550832,16.6036372505,0.184674193539,0.0857422723999,0.0,-1.45586938707,2.32421432692,4.5897271606,-0.0119924016985,0.00144418715045,0.0,454.10066946860604,455.0238724015179,455.13776612292116,454.2537663610389
2.520000000000002,-1.39856978871,1.87135777463,16.6954906718,0.184766757113,0.0866021011667,0.0,-1.47400221296,2.36101230413,4.59561497753,-0.0156388334226,0.00720941055913,0.0,437.4652188229304,438.90320912490114,439.3048523550011,438.39682476599853
2.540000000000002,-1.42823761589,1.91895538289,16.787513493,0.185122780101,0.0873138253459,0.0,-1.49278050525,2.39874852206,4.60666713625,-0.0104666011908,0.0119740132415,0.0,443.75015069970283,444.9220171831585,442.30969538798104,443.5860266268864
2.560000000000002,-1.45831732018,1.96738092062,16.8801466288,0.186654050281,0.0877671670599,0.0,-1.51518992353,2.44380525111,4.65664644312,-0.0188107061848,0.0148988137416,0.0,478.9171503202657,479.58401923389334,481.0252885693555,479.12581244727346
2.580000000000002,-1.48880075536,2.01661452413,16.9732679126,0.186505395356,0.0881954913272,0.0,-1.53315359486,2.47955509994,4.65548193717,-0.0157936930965,0.0171822146482,0.0,432.5863017961794,433.16274457907855,432.05872912802135,432.82131019942756
2.600000000000002,-1.5196525726,2.06657933255,17.0664561161,0.189620802736,0.088608180671,0.0,-1.55202812877,2.51692574174,4.66333841137,-0.0275091209438,0.01884408168,0.0,442.09539855115077,442.50598513188646,442.1322451085432,439.22668725598
2.620000000000002,-1.55089459661,2.11732247069,17.1599297257,0.189326882915,0.089225986133,0.0,-1.57217427237,2.55738807169,4.68402254898,-0.0307107617634,0.015739737444,0.0,454.6873033492196,453.94041885983125,454.0565718004972,453.28508007918754
